timestamp,rule.level,rule.id,rule.description,rule.firedtimes,rule.groups,rule.mail,decoder,location,agent.name,full_log,label
2025-03-05T00:00:34.390+0000,3,591,Log file rotated.,1.0,ossec,False,ossec,logcollector,xxx,ossec: File rotated (inode changed): '/var/log/nginx/apidev-access.log'.,0
2025-03-05T00:00:34.431+0000,3,591,Log file rotated.,2.0,ossec,False,ossec,logcollector,xxx,ossec: File rotated (inode changed): '/var/log/nginx/access.log'.,0
2025-03-05T00:00:34.431+0000,3,591,Log file rotated.,3.0,ossec,False,ossec,logcollector,xxx,ossec: File rotated (inode changed): '/var/log/nginx/apidev-error.log'.,0
2025-03-05T00:00:43.678+0000,3,591,Log file rotated.,4.0,ossec,False,ossec,logcollector,xxx,ossec: File rotated (inode changed): '/var/log/apache2/error.log'.,0
2025-03-05T00:00:43.678+0000,3,591,Log file rotated.,5.0,ossec,False,ossec,logcollector,xxx,ossec: File rotated (inode changed): '/var/log/apache2/access.log'.,0
2025-03-05T00:01:48.257+0000,3,652,Host Unblocked by firewall-drop Active Response,1.0,"ossec,active_response",False,ar_log_json,/var/ossec/logs/active-responses.log,xxx,"2025/03/05 00:01:47 active-response/bin/firewall-drop: {""version"":1,""origin"":{""name"":""node01"",""module"":""wazuh-execd""},""command"":""delete"",""parameters"":{""extra_args"":[],""alert"":{""timestamp"":""2025-03-04T23:01:46.594+0000"",""rule"":{""level"":5,""description"":""Web server 400 error code."",""id"":""31101"",""firedtimes"":1,""mail"":false,""groups"":[""web"",""accesslog"",""attack""],""pci_dss"":[""6.5"",""11.4""],""gdpr"":[""IV_35.7.d""],""nist_800_53"":[""SA.11"",""SI.4""],""tsc"":[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""002"",""name"":""prod-server"",""ip"":""103.129.149.63""},""manager"":{""name"":""wazuh-server""},""id"":""1741129306.34806896"",""full_log"":""147.185.132.31 - - [05/Mar/2025:06:01:45 +0700] \""GET / HTTP/1.1\"" 404 118 \""-\"" \""Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com\"""",""decoder"":{""name"":""web-accesslog""},""data"":{""protocol"":""GET"",""srcip"":""147.185.132.31"",""id"":""404"",""url"":""/""},""location"":""/var/log/nginx/access.log""},""program"":""active-response/bin/firewall-drop""}}",0
2025-03-05T00:03:46.096+0000,5,5710,sshd: Attempt to login using a non-existent user,1.0,"syslog,sshd,authentication_failed,invalid_login",False,sshd,journald,xxx,Mar 05 00:03:44 wazuh-server sshd[3129036]: Invalid user me from 45.55.159.241 port 47838,1
2025-03-05T00:03:46.096+0000,5,5710,sshd: Attempt to login using a non-existent user,2.0,"syslog,sshd,authentication_failed,invalid_login",False,sshd,journald,xxx,Mar 05 00:03:45 wazuh-server sshd[3129036]: Disconnected from invalid user me 45.55.159.241 port 47838 [preauth],1
2025-03-05T00:03:46.346+0000,3,651,Host Blocked by firewall-drop Active Response,1.0,"ossec,active_response",False,ar_log_json,/var/ossec/logs/active-responses.log,xxx,"2025/03/05 00:03:46 active-response/bin/firewall-drop: {""version"":1,""origin"":{""name"":""node01"",""module"":""wazuh-execd""},""command"":""add"",""parameters"":{""extra_args"":[],""alert"":{""timestamp"":""2025-03-05T00:03:46.096+0000"",""rule"":{""level"":5,""description"":""sshd: Attempt to login using a non-existent user"",""id"":""5710"",""mitre"":{""id"":[""T1110.001"",""T1021.004""],""tactic"":[""Credential Access"",""Lateral Movement""],""technique"":[""Password Guessing"",""SSH""]},""firedtimes"":2,""mail"":false,""groups"":[""syslog"",""sshd"",""authentication_failed"",""invalid_login""],""gdpr"":[""IV_35.7.d"",""IV_32.2""],""gpg13"":[""7.1""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7"",""AU.6""],""pci_dss"":[""10.2.4"",""10.2.5"",""10.6.1""],""tsc"":[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1741133026.5413"",""full_log"":""Mar 05 00:03:45 wazuh-server sshd[3129036]: Disconnected from invalid user me 45.55.159.241 port 47838 [preauth]"",""predecoder"":{""program_name"":""sshd"",""timestamp"":""Mar 05 00:03:45"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""sshd"",""name"":""sshd""},""data"":{""srcip"":""45.55.159.241"",""srcport"":""47838"",""srcuser"":""me""},""location"":""journald""},""program"":""active-response/bin/firewall-drop""}}",0
2025-03-05T00:03:46.359+0000,3,651,Host Blocked by firewall-drop Active Response,2.0,"ossec,active_response",False,ar_log_json,/var/ossec/logs/active-responses.log,xxx,"2025/03/05 00:03:46 active-response/bin/firewall-drop: {""version"":1,""origin"":{""name"":""node01"",""module"":""wazuh-execd""},""command"":""add"",""parameters"":{""extra_args"":[],""alert"":{""timestamp"":""2025-03-05T00:03:46.096+0000"",""rule"":{""level"":5,""description"":""sshd: Attempt to login using a non-existent user"",""id"":""5710"",""mitre"":{""id"":[""T1110.001"",""T1021.004""],""tactic"":[""Credential Access"",""Lateral Movement""],""technique"":[""Password Guessing"",""SSH""]},""firedtimes"":1,""mail"":false,""groups"":[""syslog"",""sshd"",""authentication_failed"",""invalid_login""],""gdpr"":[""IV_35.7.d"",""IV_32.2""],""gpg13"":[""7.1""],""hipaa"":[""164.312.b""],""nist_800_53"":[""AU.14"",""AC.7"",""AU.6""],""pci_dss"":[""10.2.4"",""10.2.5"",""10.6.1""],""tsc"":[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]},""agent"":{""id"":""000"",""name"":""wazuh-server""},""manager"":{""name"":""wazuh-server""},""id"":""1741133026.5413"",""full_log"":""Mar 05 00:03:44 wazuh-server sshd[3129036]: Invalid user me from 45.55.159.241 port 47838"",""predecoder"":{""program_name"":""sshd"",""timestamp"":""Mar 05 00:03:44"",""hostname"":""wazuh-server""},""decoder"":{""parent"":""sshd"",""name"":""sshd""},""data"":{""srcip"":""45.55.159.241"",""srcport"":""47838"",""srcuser"":""me""},""location"":""journald""},""program"":""active-response/bin/firewall-drop""}}",0
